dae,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP
,109233.34,1652.330053,109233.34,1652.330053,0.0,0.0,0.0,9.7,18.2,11.2,0.0,1,0,,,,,,,16.52330053
,122375.47,1553.923897,122375.47,1553.923897,0.0,0.0,0.0,7.5,22.3,11.6,0.0,1,0,,,,,,,15.53923897
,123734.865,1477.331407,123734.865,1477.331407,0.0,0.0,0.0,9.2,18.1,7.1,0.6,1,0,,,,,,,14.77331407
,129121.86,1403.918697,129121.86,1403.918697,0.0,0.0,0.0,9.5,16.2,7.6,1.4,1,0,,,,,,,14.03918697
,131237.185,1568.97552,131237.185,1568.97552,0.0,0.0,0.0,10.3,15.6,6.9,2.2,1,0,,,,,,,15.6897552
,131138.73,1568.629108,131138.73,1568.629108,0.0,0.0,0.0,10.5,15.9,5.9,0.2,1,0,,,,,,,15.68629108
,108377.05,1057.547347,108377.05,1057.547347,0.0,0.0,0.0,12.8,18.7,7.3,0.0,1,0,,,,,,,10.57547347
,103811.28,716.4474089,84331.03,716.4474089,19480.25,0.0,0.22916667,12.8,16.6,5.9,8.6,1,0,,,,,,,7.164474089
,123740.245,1536.252652,121962.52,1536.252652,1777.725,0.0,0.020833334,12.4,15.9,7.9,2.6,1,0,,,,,,,15.36252652
,129312.58,1529.771617,129312.58,1529.771617,0.0,0.0,0.0,12.8,17.4,5.9,0.0,1,0,,,,,,,15.29771617
,136903.27,1812.876552,136903.27,1812.876552,0.0,0.0,0.0,6.3,12.8,8.7,6.8,1,0,,,,,,,18.12876552
,135217.65,1946.78446,135217.65,1946.78446,0.0,0.0,0.0,7.3,14.6,6.7,4.4,1,0,,,,,,,19.4678446
,135172.41,1774.318492,135172.41,1774.318492,0.0,0.0,0.0,11.5,14.5,6.2,1.8,1,0,,,,,,,17.74318492
,117136.63,1894.689231,117136.63,1894.689231,0.0,0.0,0.0,11.3,16.2,10.4,0.0,1,0,,,,,,,18.94689231
,111897.085,1648.042991,111897.085,1648.042991,0.0,0.0,0.0,7.4,20.5,10.3,0.0,1,0,,,,,,,16.48042991
,127524.8,2122.05381,127524.8,2122.05381,0.0,0.0,0.0,7.2,20.4,10.2,0.0,1,0,,,,,,,21.2205381
,133235.48,1836.367242,133235.48,1836.367242,0.0,0.0,0.0,9.9,16.2,3.2,0.0,1,0,,,,,,,18.36367242
,127522.71,1671.159841,127522.71,1671.159841,0.0,0.0,0.0,13.6,18.1,6.0,2.4,1,0,,,,,,,16.71159841
,135361.195,1921.806815,135361.195,1921.806815,0.0,0.0,0.0,10.3,13.6,3.5,6.2,1,0,,,,,,,19.21806815
,133422.46,1867.430982,133422.46,1867.430982,0.0,0.0,0.0,9.1,14.1,6.7,0.4,1,0,,,,,,,18.67430982
,119331.85,1684.695804,119331.85,1684.695804,0.0,0.0,0.0,10.4,13.3,7.7,0.0,1,0,,,,,,,16.84695804
,118783.085,1699.061299,118783.085,1699.061299,0.0,0.0,0.0,6.0,15.6,8.6,0.0,1,0,,,,,,,16.99061299
,136690.92,2784.377312,136690.92,2784.377312,0.0,0.0,0.0,7.4,17.1,8.1,0.0,1,0,,,,,,,27.84377312
,140886.995,2503.377845,140886.995,2503.377845,0.0,0.0,0.0,5.4,15.6,6.8,0.0,1,0,,,,,,,25.03377845
