date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,Hour,DayOfWeek,Month,Year,demand_Lag_1,demand_Lag_7,Z_Score
2017-10-09,111432.365,68.87949681674621,111432.365,68.87949681674621,0.0,0.0,0.0,14.0,18.7,16.7,2.4,N,N,0,0,10,2017,97053.54500000004,119226.42000000006,0.6259207637090946
2017-10-10,116556.425,77.45230854069176,116556.425,77.45230854069176,0.0,0.0,0.0,8.0,18.8,23.6,0.2,Y,N,0,1,10,2017,111432.365,118856.415,0.2531189527097708
2017-10-11,114133.53999999994,55.553221793961725,114133.53999999994,55.553221793961725,0.0,0.0,0.0,9.8,25.6,7.5,0.0,Y,N,0,2,10,2017,116556.425,114604.62,0.42939634131238713
2017-10-12,113957.73500000002,56.95927732944149,113957.73500000002,56.95927732944149,0.0,0.0,0.0,10.5,19.2,15.6,10.0,Y,N,0,3,10,2017,114133.53999999994,113134.57999999994,0.44218706241688366
2017-10-13,117048.725,83.75674608928887,117048.725,83.75674608928887,0.0,0.0,0.0,13.1,16.7,12.5,0.0,Y,N,0,4,10,2017,113957.73500000002,118359.28,0.21730158687975162
2017-10-14,102037.165,85.40388327478523,102037.165,85.40388327478523,0.0,0.0,0.0,8.2,16.1,23.6,0.0,Y,N,0,5,10,2017,117048.725,101974.595,1.3094700536668336
2017-10-15,98108.81500000002,71.60289058174844,98108.81500000002,71.60289058174844,0.0,0.0,0.0,6.8,17.6,24.5,0.0,Y,N,0,6,10,2017,102037.165,97053.54500000004,1.5952777909375107
2017-10-16,115907.39500000002,84.01322670870134,115907.39500000002,84.01322670870134,0.0,0.0,0.0,11.3,28.6,23.8,0.0,Y,N,0,0,10,2017,98108.81500000002,111432.365,0.3003392349455146
2017-10-17,117470.21999999994,76.51584578840495,117470.21999999994,76.51584578840495,0.0,0.0,0.0,12.8,30.2,24.9,0.0,Y,N,0,1,10,2017,115907.39500000002,116556.425,0.18663565023436954
2017-10-18,121087.09999999998,92.33412136222609,121087.09999999998,92.33412136222609,0.0,0.0,0.0,14.5,30.9,25.1,0.0,Y,N,0,2,10,2017,117470.21999999994,114133.53999999994,0.0765110369955316
2017-10-19,118201.175,80.37671709608641,118201.175,80.37671709608641,0.0,0.0,0.0,21.7,25.6,9.8,0.0,Y,N,0,3,10,2017,121087.09999999998,113957.73500000002,0.1334549014220931
2017-10-20,108412.66500000002,72.71584683533051,108412.66500000002,72.71584683533051,0.0,0.0,0.0,11.3,16.2,24.0,2.6,Y,N,0,4,10,2017,118201.175,117048.725,0.84561952380844
2017-10-21,102195.97500000002,73.10833941258448,102195.97500000002,73.10833941258448,0.0,0.0,0.0,11.0,15.4,12.8,0.0,Y,N,0,5,10,2017,108412.66500000002,102037.165,1.297915806525931
2017-10-22,100571.03999999996,76.32822257331736,100571.03999999996,76.32822257331736,0.0,0.0,0.0,11.1,16.0,13.0,0.0,Y,N,0,6,10,2017,102195.97500000002,98108.81500000002,1.4161382142955918
2017-10-23,115549.43499999998,90.67566504327785,115549.43499999998,90.67566504327785,0.0,0.0,0.0,11.9,19.0,21.8,0.0,Y,N,0,0,10,2017,100571.03999999996,115907.39500000002,0.32638267242777114
2017-10-24,118010.31,91.9304754139702,118010.31,91.9304754139702,0.0,0.0,0.0,12.1,20.5,18.7,0.2,Y,N,0,1,10,2017,115549.43499999998,117470.21999999994,0.1473413152533886
2017-10-25,115813.02999999994,98.04241530853656,115813.02999999994,98.04241530853656,0.0,0.0,0.0,13.3,18.5,12.5,11.4,Y,N,0,2,10,2017,118010.31,121087.09999999998,0.30720477572664917
2017-10-26,117333.445,89.91123067553333,117333.445,89.91123067553333,0.0,0.0,0.0,12.9,16.8,12.2,0.2,Y,N,0,3,10,2017,115813.02999999994,118201.175,0.1965867373995098
2017-10-27,112633.265,78.66088236188482,112633.265,78.66088236188482,0.0,0.0,0.0,10.3,27.4,26.1,0.0,Y,N,0,4,10,2017,117333.445,108412.66500000002,0.5385490906941248
2017-10-28,100746.41999999995,81.09446701282292,100746.41999999995,81.09446701282292,0.0,0.0,0.0,15.0,21.4,16.8,0.4,Y,N,0,5,10,2017,112633.265,102195.97500000002,1.4033784141345753
2017-10-29,92182.955,61.46252749328767,92182.955,61.46252749328767,0.0,0.0,0.0,11.5,28.6,27.1,0.0,Y,N,0,6,10,2017,100746.41999999995,100571.03999999996,2.026414690140186
2017-10-30,112227.65000000004,77.42179007401472,112227.65000000004,77.42179007401472,0.0,0.0,0.0,8.8,17.0,17.0,4.4,Y,N,0,0,10,2017,92182.955,115549.43499999998,0.5680596753805798
2017-10-31,116179.47000000002,86.95725767426897,116179.47000000002,86.95725767426897,0.0,0.0,0.0,8.1,16.4,24.8,6.0,Y,N,0,1,10,2017,112227.65000000004,118010.31,0.28054437447790886
2017-11-01,116632.08999999998,87.0275425626858,116632.08999999998,87.0275425626858,0.0,0.0,0.0,11.9,18.0,14.2,0.4,Y,N,0,2,11,2017,116179.47000000002,115813.02999999994,0.24761393344199176
2017-11-02,120470.78500000002,87.51016268384069,120470.78500000002,87.51016268384069,0.0,0.0,0.0,11.3,17.4,17.0,1.4,Y,N,0,3,11,2017,116632.08999999998,117333.445,0.031670939856537746
2017-11-03,113451.99499999998,76.92584895400033,113451.99499999998,76.92584895400033,0.0,0.0,0.0,9.4,16.6,20.5,1.4,Y,N,0,4,11,2017,120470.78500000002,112633.265,0.4789822576126485
2017-11-04,101610.81499999996,78.73458188973294,101610.81499999996,78.73458188973294,0.0,0.0,0.0,8.3,15.8,24.6,0.4,Y,N,0,5,11,2017,113451.99499999998,100746.41999999995,1.3404892166195654
2017-11-05,95368.165,77.63660267868214,95368.165,77.63660267868214,0.0,0.0,0.0,6.4,17.6,24.1,0.0,Y,N,0,6,11,2017,101610.81499999996,92182.955,1.7946742233202901
2017-11-06,104632.79,80.93422103482092,104632.79,80.93422103482092,0.0,0.0,0.0,10.9,16.1,18.9,0.0,Y,N,0,0,11,2017,95368.165,112227.65000000004,1.1206249385286189
2017-11-07,100592.295,78.31776630108695,100592.295,78.31776630108695,0.0,0.0,0.0,10.0,15.8,18.8,3.4,Y,Y,0,1,11,2017,104632.79,116179.47000000002,1.4145918033455243
2017-11-08,111738.485,90.99575508966316,111738.485,90.99575508966316,0.0,0.0,0.0,12.1,16.9,25.4,0.0,Y,N,0,2,11,2017,100592.295,116632.08999999998,0.6036489537804225
2017-11-09,113539.935,85.58259467296682,113539.935,85.58259467296682,0.0,0.0,0.0,8.7,21.8,28.8,0.0,Y,N,0,3,11,2017,111738.485,120470.78500000002,0.4725841687418533
2017-11-10,115156.44499999998,92.6155369501898,115156.44499999998,92.6155369501898,0.0,0.0,0.0,12.1,27.2,23.7,0.0,Y,N,0,4,11,2017,113539.935,113451.99499999998,0.3549747232048163
2017-11-11,104194.345,83.49493923734536,104194.345,83.49493923734536,0.0,0.0,0.0,14.8,24.7,28.8,0.0,Y,N,0,5,11,2017,115156.44499999998,101610.81499999996,1.1525240751553556
